zone_id,week_start,risk_score_0_100,risk_bin,scored_utc
zone_1,2024-03-02,97.97358,high,2026-04-25T20:02:39.788341+00:00
zone_1,2024-03-09,98.02838,high,2026-04-25T20:02:39.788341+00:00
zone_1,2024-03-16,98.03608,high,2026-04-25T20:02:39.788341+00:00
zone_1,2024-03-23,98.02418,high,2026-04-25T20:02:39.788341+00:00
zone_1,2024-03-30,98.019424,high,2026-04-25T20:02:39.788341+00:00
zone_1,2024-04-06,97.98428,high,2026-04-25T20:02:39.788341+00:00
zone_1,2024-04-13,97.9904,high,2026-04-25T20:02:39.788341+00:00
zone_1,2024-04-20,98.01394,high,2026-04-25T20:02:39.788341+00:00
zone_1,2024-04-27,98.01823,high,2026-04-25T20:02:39.788341+00:00
zone_1,2024-05-04,98.00463,high,2026-04-25T20:02:39.788341+00:00
zone_1,2024-05-11,97.8014,high,2026-04-25T20:02:39.788341+00:00
zone_1,2024-05-18,98.00995,high,2026-04-25T20:02:39.788341+00:00
zone_1,2024-05-25,98.05522,high,2026-04-25T20:02:39.788341+00:00
zone_1,2024-06-01,97.97197,high,2026-04-25T20:02:39.788341+00:00
zone_1,2024-06-08,98.009964,high,2026-04-25T20:02:39.788341+00:00
zone_1,2024-06-15,98.04826,high,2026-04-25T20:02:39.788341+00:00
zone_1,2024-06-22,97.97198,high,2026-04-25T20:02:39.788341+00:00
zone_1,2024-06-29,93.174965,high,2026-04-25T20:02:39.788341+00:00
zone_1,2024-07-06,97.95737,high,2026-04-25T20:02:39.788341+00:00
zone_1,2024-07-13,91.56926,high,2026-04-25T20:02:39.788341+00:00
zone_1,2024-07-20,85.66815,high,2026-04-25T20:02:39.788341+00:00
zone_1,2024-07-27,97.7581,high,2026-04-25T20:02:39.788341+00:00
zone_1,2024-08-03,80.50795,high,2026-04-25T20:02:39.788341+00:00
zone_1,2024-08-10,85.71028,high,2026-04-25T20:02:39.788341+00:00
zone_1,2024-08-17,89.90108,high,2026-04-25T20:02:39.788341+00:00
zone_1,2024-08-24,68.40922,high,2026-04-25T20:02:39.788341+00:00
zone_1,2024-08-31,88.280426,high,2026-04-25T20:02:39.788341+00:00
zone_1,2024-09-07,72.62787,high,2026-04-25T20:02:39.788341+00:00
zone_1,2024-09-14,74.593834,high,2026-04-25T20:02:39.788341+00:00
zone_1,2024-09-21,65.53683,medium,2026-04-25T20:02:39.788341+00:00
zone_1,2024-09-28,76.17797,high,2026-04-25T20:02:39.788341+00:00
zone_1,2024-10-05,64.581726,medium,2026-04-25T20:02:39.788341+00:00
zone_1,2024-10-12,87.192276,high,2026-04-25T20:02:39.788341+00:00
zone_1,2024-10-19,74.392265,high,2026-04-25T20:02:39.788341+00:00
zone_1,2024-10-26,65.37328,medium,2026-04-25T20:02:39.788341+00:00
zone_1,2024-11-02,91.4058,high,2026-04-25T20:02:39.788341+00:00
zone_1,2024-11-09,94.18985,high,2026-04-25T20:02:39.788341+00:00
zone_1,2024-11-16,97.93725,high,2026-04-25T20:02:39.788341+00:00
zone_1,2024-11-23,97.78983,high,2026-04-25T20:02:39.788341+00:00
zone_1,2024-11-30,70.17257,high,2026-04-25T20:02:39.788341+00:00
zone_1,2024-12-07,97.9679,high,2026-04-25T20:02:39.788341+00:00
zone_1,2024-12-14,98.04309,high,2026-04-25T20:02:39.788341+00:00
zone_1,2024-12-21,86.69399,high,2026-04-25T20:02:39.788341+00:00
zone_1,2024-12-28,98.003235,high,2026-04-25T20:02:39.788341+00:00
zone_1,2025-01-04,98.04017,high,2026-04-25T20:02:39.788341+00:00
zone_1,2025-01-11,97.90697,high,2026-04-25T20:02:39.788341+00:00
zone_1,2025-01-18,97.989685,high,2026-04-25T20:02:39.788341+00:00
zone_1,2025-01-25,97.964874,high,2026-04-25T20:02:39.788341+00:00
zone_1,2025-02-01,98.03223,high,2026-04-25T20:02:39.788341+00:00
zone_1,2025-02-08,98.03961,high,2026-04-25T20:02:39.788341+00:00
zone_1,2025-02-15,98.0144,high,2026-04-25T20:02:39.788341+00:00
zone_1,2025-02-22,98.01385,high,2026-04-25T20:02:39.788341+00:00
zone_1,2025-03-01,97.985664,high,2026-04-25T20:02:39.788341+00:00
zone_1,2025-03-08,98.01022,high,2026-04-25T20:02:39.788341+00:00
zone_1,2025-03-15,98.01615,high,2026-04-25T20:02:39.788341+00:00
zone_1,2025-03-22,98.03242,high,2026-04-25T20:02:39.788341+00:00
